period,group,name,value
2022-03-31,tenor,0-2 years,11377.0325
2022-03-31,tenor,2-5 years,39716.6605
2022-03-31,tenor,5-9 years,22971.2675
2022-03-31,tenor,9-12 years,33982.398
2022-03-31,tenor,12+ years,14697.2185
2022-03-31,tenor,Total,122744.577
2022-04-30,tenor,0-2 years,13236.032
2022-04-30,tenor,2-5 years,30559.0185
2022-04-30,tenor,5-9 years,20732.958
2022-04-30,tenor,9-12 years,40436.199
2022-04-30,tenor,12+ years,10054.16
2022-04-30,tenor,Total,115018.3675
2022-05-31,tenor,0-2 years,13744.354
2022-05-31,tenor,2-5 years,43381.9815
2022-05-31,tenor,5-9 years,22011.539
2022-05-31,tenor,9-12 years,46504.2685
2022-05-31,tenor,12+ years,18234.7805
2022-05-31,tenor,Total,143876.9235
2022-06-30,tenor,0-2 years,12093.207
2022-06-30,tenor,2-5 years,54071.678
2022-06-30,tenor,5-9 years,26451.849
2022-06-30,tenor,9-12 years,43889.29
2022-06-30,tenor,12+ years,16510.805
2022-06-30,tenor,Total,153016.829
2022-07-31,tenor,0-2 years,11008.4325
2022-07-31,tenor,2-5 years,27363.348
2022-07-31,tenor,5-9 years,18481.258
2022-07-31,tenor,9-12 years,24071.1045
2022-07-31,tenor,12+ years,13995.7295
2022-07-31,tenor,Total,94919.8725
2022-08-31,tenor,0-2 years,11047.0095
2022-08-31,tenor,2-5 years,43004.846
2022-08-31,tenor,5-9 years,28477.28
2022-08-31,tenor,9-12 years,33342.9455
2022-08-31,tenor,12+ years,13789.675
2022-08-31,tenor,Total,129661.756
2022-09-30,tenor,0-2 years,7123.5875
2022-09-30,tenor,2-5 years,32355.7825
2022-09-30,tenor,5-9 years,19012.0635
2022-09-30,tenor,9-12 years,39670.084
2022-09-30,tenor,12+ years,12737.488
2022-09-30,tenor,Total,110899.0055
2022-10-31,tenor,0-2 years,11136.8175
2022-10-31,tenor,2-5 years,22478.117
2022-10-31,tenor,5-9 years,17707.364
2022-10-31,tenor,9-12 years,20023.568
2022-10-31,tenor,12+ years,9278.032
2022-10-31,tenor,Total,80623.8985
2022-11-30,tenor,0-2 years,21826.1455
2022-11-30,tenor,2-5 years,35817.9105
2022-11-30,tenor,5-9 years,19672.192
2022-11-30,tenor,9-12 years,37816.1905
2022-11-30,tenor,12+ years,14129.857
2022-11-30,tenor,Total,129262.2955
2022-12-31,tenor,0-2 years,6969.6175
2022-12-31,tenor,2-5 years,36636.8955
2022-12-31,tenor,5-9 years,17546.79
2022-12-31,tenor,9-12 years,27188.835
2022-12-31,tenor,12+ years,9396.728
2022-12-31,tenor,Total,97738.866
2023-01-31,tenor,0-2 years,7726.761
2023-01-31,tenor,2-5 years,23160.3915
2023-01-31,tenor,5-9 years,16518.2765
2023-01-31,tenor,9-12 years,19091.456
2023-01-31,tenor,12+ years,9413.109
2023-01-31,tenor,Total,75909.994
2023-02-28,tenor,0-2 years,12551.1605
2023-02-28,tenor,2-5 years,27510.1775
2023-02-28,tenor,5-9 years,21840.399
2023-02-28,tenor,9-12 years,24254.6265
2023-02-28,tenor,12+ years,10928.0395
2023-02-28,tenor,Total,97084.403
2023-03-31,tenor,0-2 years,12608.932
2023-03-31,tenor,2-5 years,50193.5435
2023-03-31,tenor,5-9 years,22800.5165
2023-03-31,tenor,9-12 years,55064.175
2023-03-31,tenor,12+ years,21026.8155
2023-03-31,tenor,Total,161693.9825
2023-04-30,tenor,0-2 years,12285.867
2023-04-30,tenor,2-5 years,14627.089
2023-04-30,tenor,5-9 years,15661
2023-04-30,tenor,9-12 years,35024.0215
2023-04-30,tenor,12+ years,12542.5805
2023-04-30,tenor,Total,90140.558
2023-05-31,tenor,0-2 years,19542.5145
2023-05-31,tenor,2-5 years,32862.283
2023-05-31,tenor,5-9 years,30067.657
2023-05-31,tenor,9-12 years,29378.4435
2023-05-31,tenor,12+ years,16069.3
2023-05-31,tenor,Total,127920.198
2023-06-30,tenor,0-2 years,11143.7895
2023-06-30,tenor,2-5 years,38428.7115
2023-06-30,tenor,5-9 years,39491.9475
2023-06-30,tenor,9-12 years,34844.0785
2023-06-30,tenor,12+ years,13368.537
2023-06-30,tenor,Total,137277.064
2016-09-30,investor_type,Reserve Bank of Australia,NA
2016-09-30,investor_type,Interbank,75268.2975
2016-09-30,investor_type,Bank balance sheet,24873.451
2016-09-30,investor_type,Other domestic,52079.568
2016-09-30,investor_type,Japan,16552.228
2016-09-30,investor_type,Asia (ex Japan),37871.836
2016-09-30,investor_type,UK,16220.507
2016-09-30,investor_type,Europe,27619.39
2016-09-30,investor_type,Americas,13740.945
