Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,date,value
LIABILITY,AUD,Treasury Notes,40221,2009-06-30,-0.614847802038327
LIABILITY,AUD,Treasury Notes,40221,2009-07-31,-0.530556387508462
LIABILITY,AUD,Treasury Notes,40221,2009-08-31,-0.445770387723896
LIABILITY,AUD,Treasury Notes,40221,2009-09-30,-0.364184681594689
LIABILITY,AUD,Treasury Notes,40221,2009-10-31,-0.282490944600243
LIABILITY,AUD,Treasury Notes,40221,2009-11-30,-0.19853410367271
LIABILITY,AUD,Treasury Notes,40221,2009-12-31,-0.114558865712074
LIABILITY,AUD,Treasury Notes,40221,2010-01-31,-0.0355778457629611
LIABILITY,AUD,Treasury Notes,40228,2009-05-31,-0.721055934031565
LIABILITY,AUD,Treasury Notes,40228,2009-06-30,-0.633808445747012
LIABILITY,AUD,Treasury Notes,40228,2009-07-31,-0.549590593670676
LIABILITY,AUD,Treasury Notes,40228,2009-08-31,-0.464722820589493
LIABILITY,AUD,Treasury Notes,40228,2009-09-30,-0.383276635604175
LIABILITY,AUD,Treasury Notes,40228,2009-10-31,-0.301586857606635
LIABILITY,AUD,Treasury Notes,40228,2009-11-30,-0.21737737301014
LIABILITY,AUD,Treasury Notes,40228,2009-12-31,-0.133546455518262
LIABILITY,AUD,Treasury Notes,40228,2010-01-31,-0.054681334153471
LIABILITY,AUD,Treasury Notes,40235,2009-05-31,-0.740067990175974
LIABILITY,AUD,Treasury Notes,40235,2009-06-30,-0.652830583110623
LIABILITY,AUD,Treasury Notes,40235,2009-07-31,-0.568583831298944
LIABILITY,AUD,Treasury Notes,40235,2009-08-31,-0.483740249515281
LIABILITY,AUD,Treasury Notes,40235,2009-09-30,-0.402363453667733
LIABILITY,AUD,Treasury Notes,40235,2009-10-31,-0.320708214423717
LIABILITY,AUD,Treasury Notes,40235,2009-11-30,-0.236263879115753
LIABILITY,AUD,Treasury Notes,40235,2009-12-31,-0.152522338617953
LIABILITY,AUD,Treasury Notes,40235,2010-01-31,-0.0737532472473536
LIABILITY,AUD,Treasury Notes,40242,2009-06-30,-0.671812450546997
LIABILITY,AUD,Treasury Notes,40242,2009-07-31,-0.58753621836811
LIABILITY,AUD,Treasury Notes,40242,2009-08-31,-0.502721451699203
LIABILITY,AUD,Treasury Notes,40242,2009-09-30,-0.421445431854069
LIABILITY,AUD,Treasury Notes,40242,2009-10-31,-0.339826397836131
LIABILITY,AUD,Treasury Notes,40242,2009-11-30,-0.255320100079422
LIABILITY,AUD,Treasury Notes,40242,2009-12-31,-0.171426896992879
LIABILITY,AUD,Treasury Notes,40242,2010-01-31,-0.0928366013790842
LIABILITY,AUD,Treasury Notes,40242,2010-02-28,-0.0164101096121276
LIABILITY,AUD,Treasury Notes,40249,2009-12-31,-0.190383503048397
LIABILITY,AUD,Treasury Notes,40249,2010-01-31,-0.111836907703615
LIABILITY,AUD,Treasury Notes,40249,2010-02-28,-0.035570798925813
LIABILITY,AUD,Treasury Notes,40263,2010-01-31,-0.149788105849867
LIABILITY,AUD,Treasury Notes,40263,2010-02-28,-0.0737844585831813
LIABILITY,AUD,Treasury Notes,40277,2009-10-31,-0.434841741489002
LIABILITY,AUD,Treasury Notes,40277,2009-11-30,-0.350428637830885
LIABILITY,AUD,Treasury Notes,40277,2009-12-31,-0.265957861570395
LIABILITY,AUD,Treasury Notes,40277,2010-01-31,-0.187604149521676
LIABILITY,AUD,Treasury Notes,40277,2010-02-28,-0.111851691393088
LIABILITY,AUD,Treasury Notes,40277,2010-03-31,-0.021852501838054
LIABILITY,AUD,Treasury Notes,40291,2009-10-31,-0.472764059798371
LIABILITY,AUD,Treasury Notes,40291,2009-11-30,-0.388359239827877
LIABILITY,AUD,Treasury Notes,40291,2009-12-31,-0.304020744686163
LIABILITY,AUD,Treasury Notes,40291,2010-01-31,-0.225323748216604
LIABILITY,AUD,Treasury Notes,40291,2010-02-28,-0.149808402094781
LIABILITY,AUD,Treasury Notes,40291,2010-03-31,-0.0601346345035155
LIABILITY,AUD,Treasury Notes,40305,2010-01-31,-0.26319850947571
LIABILITY,AUD,Treasury Notes,40305,2010-02-28,-0.187639340833467
LIABILITY,AUD,Treasury Notes,40305,2010-03-31,-0.0982397503503862
LIABILITY,AUD,Treasury Notes,40305,2010-04-30,-0.0164058980763562
LIABILITY,AUD,Treasury Notes,40319,2009-11-30,-0.464298424309623
LIABILITY,AUD,Treasury Notes,40319,2009-12-31,-0.380114132855649
LIABILITY,AUD,Treasury Notes,40319,2010-01-31,-0.301369046451717
LIABILITY,AUD,Treasury Notes,40319,2010-02-28,-0.225379534937059
LIABILITY,AUD,Treasury Notes,40319,2010-03-31,-0.136195882238275
LIABILITY,AUD,Treasury Notes,40319,2010-04-30,-0.0546662038553762
LIABILITY,AUD,Treasury Notes,40340,2010-02-28,-0.282553034268251
LIABILITY,AUD,Treasury Notes,40340,2010-03-31,-0.192923275466588
LIABILITY,AUD,Treasury Notes,40340,2010-04-30,-0.111768443006123
LIABILITY,AUD,Treasury Notes,40340,2010-05-31,-0.0273712037940992
LIABILITY,AUD,Treasury Notes,40354,2010-03-31,-0.230582706925536
LIABILITY,AUD,Treasury Notes,40354,2010-04-30,-0.149671474636434
LIABILITY,AUD,Treasury Notes,40354,2010-05-31,-0.0655767965777665
LIABILITY,AUD,Treasury Notes,40382,2010-02-28,-0.396407369225187
LIABILITY,AUD,Treasury Notes,40382,2010-03-31,-0.306406216000407
LIABILITY,AUD,Treasury Notes,40382,2010-04-30,-0.225113277645962
LIABILITY,AUD,Treasury Notes,40382,2010-05-31,-0.141556277019759
LIABILITY,AUD,Treasury Notes,40382,2010-06-30,-0.060121529224363
LIABILITY,AUD,Treasury Notes,40403,2010-03-31,-0.363367697921106
LIABILITY,AUD,Treasury Notes,40403,2010-04-30,-0.281889223181556
LIABILITY,AUD,Treasury Notes,40403,2010-05-31,-0.19822746827747
LIABILITY,AUD,Treasury Notes,40403,2010-06-30,-0.117188636131643
LIABILITY,AUD,Treasury Notes,40403,2010-07-31,-0.0355676392761575
LIABILITY,AUD,Treasury Notes,40431,2010-04-30,-0.358262172951652
LIABILITY,AUD,Treasury Notes,40431,2010-05-31,-0.273864010397477
LIABILITY,AUD,Treasury Notes,40431,2010-06-30,-0.192852240930486
LIABILITY,AUD,Treasury Notes,40431,2010-07-31,-0.111763050450961
LIABILITY,AUD,Treasury Notes,40431,2010-08-31,-0.0246495352493087
LIABILITY,AUD,Treasury Notes,40445,2010-05-31,-0.31178112501409
LIABILITY,AUD,Treasury Notes,40445,2010-06-30,-0.230455409360418
LIABILITY,AUD,Treasury Notes,40445,2010-07-31,-0.149668392195578
LIABILITY,AUD,Treasury Notes,40445,2010-08-31,-0.0628349731851588
LIABILITY,AUD,Treasury Notes,40473,2010-06-30,-0.306218977900876
LIABILITY,AUD,Treasury Notes,40473,2010-07-31,-0.225072272815993
LIABILITY,AUD,Treasury Notes,40473,2010-08-31,-0.138858250324002
LIABILITY,AUD,Treasury Notes,40473,2010-09-30,-0.0573816017112119
LIABILITY,AUD,Treasury Notes,40494,2010-08-31,-0.195524616397877
LIABILITY,AUD,Treasury Notes,40494,2010-09-30,-0.114450628471312
LIABILITY,AUD,Treasury Notes,40494,2010-10-31,-0.0355718896218681
