Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Short-Term AGS Held by Non-Resident Holdings,date,value
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1072828800,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1080691200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1088553600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1096502400,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1104451200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1112227200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1120089600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1128038400,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1135987200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1143763200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1151625600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1159574400,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1167523200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1175299200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1183161600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1191110400,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1199059200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1206921600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1214784000,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1222732800,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1230681600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1238457600,3373843393
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1246320000,16565034214
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1254268800,11830136129
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1262217600,10836789432
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1269993600,10634608158
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1277856000,10899701634
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1285804800,16977755243
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1293753600,17793466860
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1301529600,13809254012
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1309392000,16019722181
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1317340800,14133639370
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1325289600,12419046734
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1333152000,15509517357
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1341014400,12446067357
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1348963200,15921003766
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1356912000,21397852719
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1364688000,16938356662
