Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,Coupon (%),date,value
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-07-31,-5746765411
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-08-31,-5699980836
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-09-30,-5705975679
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-10-31,-5730303340
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-11-30,-5694254588
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-12-31,-5718247713
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-01-31,-5751095507
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-02-28,-5722634163
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-03-31,-5737722323
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-04-30,-5747184284
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-05-31,-2059446429
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-06-30,-2066939245
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-07-31,-2070085864
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-08-31,-2055300453
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-09-30,-2058678880
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-10-31,-2058985318
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-11-30,-2040375680
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-12-31,-2044596089
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-01-31,-2046111412
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-02-28,-2032592655
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-03-31,-2036842756
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-04-30,-2040831005
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-05-31,-2024867348
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-06-30,-2028115142
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-07-31,-2031639186
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-04-30,-5230593
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-05-31,-2603479199
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-06-30,-2819499511
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-07-31,-3126410077
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-08-31,-3341251582
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-09-30,-3338786308
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-10-31,-3664526029
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-11-30,-3688094626
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-12-31,-4029989002
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-01-31,-4037389135
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-02-28,-4311708349
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-03-31,-4319695409
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-04-30,-4520944085
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-05-31,-4746980833
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-06-30,-5042894318
