Identified/Not Identified by Country of Beneficial Ownership,Region of Beneficial Ownership,Sub-Region of Beneficial Ownership,date,value
Reported,Asia,South and South East Asia,2020-05-31,17459085000
Reported,Asia,South and South East Asia,2020-06-30,18381185000
Reported,Asia,South and South East Asia,2020-07-31,19433785000
Reported,Asia,South and South East Asia,2020-08-31,22169285000
Reported,Asia,South and South East Asia,2020-09-30,24866085000
Reported,Asia,South and South East Asia,2020-10-31,27304585000
Reported,Asia,South and South East Asia,2020-11-30,27589435000
Reported,Asia,South and South East Asia,2020-12-31,28103535000
Reported,Asia,South and South East Asia,2021-01-31,27976285000
Reported,Asia,South and South East Asia,2021-02-28,28057485000
Reported,Asia,South and South East Asia,2021-03-31,28920435000
Reported,Asia,South and South East Asia,2021-04-30,29535700000
Reported,Asia,South and South East Asia,2021-05-31,29800754000
Reported,Asia,South and South East Asia,2021-06-30,28181116000
Reported,Asia,South and South East Asia,2021-07-31,26852079000
Reported,Asia,South and South East Asia,2021-08-31,26011085000
Reported,Asia,South and South East Asia,2021-09-30,25966156000
Reported,Asia,South and South East Asia,2021-10-31,26539900000
Reported,Asia,South and South East Asia,2021-11-30,26615051000
Reported,Asia,South and South East Asia,2021-12-31,26887500000
Reported,Asia,South and South East Asia,2022-01-31,27766600000
Reported,Asia,South and South East Asia,2022-02-28,28986900000
Reported,Asia,South and South East Asia,2022-03-31,29349600000
Reported,Asia,South and South East Asia,2022-04-30,29730400000
Reported,Asia,South and South East Asia,2022-05-31,33123100000
Reported,Asia,South and South East Asia,2022-06-30,36273200000
Reported,Asia,South and South East Asia,2022-07-31,36236900000
Reported,Asia,South and South East Asia,2022-08-31,36240500000
Reported,Asia,South and South East Asia,2022-09-30,37786500000
Reported,Asia,South and South East Asia,2022-10-31,39749900000
Reported,Asia,South and South East Asia,2022-11-30,37850700000
Reported,Asia,South and South East Asia,2022-12-31,38187200000
Reported,Asia,South and South East Asia,2023-01-31,38476200000
Reported,Asia,South and South East Asia,2023-02-28,39774200000
Reported,Asia,South and South East Asia,2023-03-31,38949300000
Reported,Asia,South and South East Asia,2023-04-30,35300400000
Reported,Asia,South and South East Asia,2023-05-31,37128900000
Reported,Asia,South and South East Asia,2023-06-30,37296300000
Reported,Asia,Total Asia,2009-12-31,11059305000
Reported,Asia,Total Asia,2010-01-31,11171110000
Reported,Asia,Total Asia,2010-02-28,10640305000
Reported,Asia,Total Asia,2010-03-31,12755705000
Reported,Asia,Total Asia,2010-04-30,12222515000
Reported,Asia,Total Asia,2010-05-31,12394405000
Reported,Asia,Total Asia,2010-06-30,11771255000
Reported,Asia,Total Asia,2010-07-30,12415607000
Reported,Asia,Total Asia,2010-08-31,13636765000
Reported,Asia,Total Asia,2010-09-30,13901870000
