Identified/Not Identified by Country of Beneficial Ownership,Region of Beneficial Ownership,Sub-Region of Beneficial Ownership,date,value
Reported,Asia,Total Asia,2016-10-31,6.869821521145131
Reported,Asia,Total Asia,2016-11-30,6.401656925744229
Reported,Asia,Total Asia,2016-12-30,5.535742513392956
Reported,Asia,Total Asia,2017-01-31,5.457105814147896
Reported,Asia,Total Asia,2017-02-28,4.8956061369122
Reported,Asia,Total Asia,2017-03-31,5.018727384089485
Reported,Asia,Total Asia,2017-04-28,4.8294831618801775
Reported,Asia,Total Asia,2017-05-31,5.095557918576161
Reported,Asia,Total Asia,2017-06-30,5.200509185958379
Reported,Asia,Total Asia,2017-07-31,5.321659657813057
Reported,Asia,Total Asia,2017-08-31,5.323287180100159
Reported,Asia,Total Asia,2017-09-29,5.53080359214387
Reported,Asia,Total Asia,2017-10-31,5.379138273921008
Reported,Asia,Total Asia,2017-11-30,5.201518810351045
Reported,Asia,Total Asia,2017-12-29,5.615967164268371
Reported,Asia,Total Asia,2018-01-31,5.9368095346704814
Reported,Asia,Total Asia,2018-02-28,6.1851082304631095
Reported,Asia,Total Asia,2018-03-29,5.911426481801085
Reported,Asia,Total Asia,2018-04-30,6.056014968145684
Reported,Asia,Total Asia,2018-05-31,5.883732900444293
Reported,Asia,Total Asia,2018-06-29,5.657021574205458
Reported,Asia,Total Asia,2018-07-31,5.83385101603341
Reported,Asia,Total Asia,2018-08-31,5.964946633276711
Reported,Asia,Total Asia,2018-09-28,6.012103858449109
Reported,Asia,Total Asia,2018-10-31,6.051479373695952
Reported,Asia,Total Asia,2018-11-30,6.0262788072583495
Reported,Asia,Total Asia,2018-12-31,5.711214395093579
Reported,Asia,Total Asia,2019-01-31,6.141881508854965
Reported,Asia,Total Asia,2019-02-28,6.272323044656023
Reported,Asia,Total Asia,2019-03-31,6.073836155292233
Reported,Asia,Total Asia,2019-04-30,6.0682093057048485
Reported,Asia,Total Asia,2019-05-31,6.324428661409226
Reported,Asia,Total Asia,2019-06-30,6.405219871260443
Reported,Asia,Total Asia,2019-07-31,6.134486468427174
Reported,Asia,Total Asia,2019-08-31,6.159254523568766
Reported,Asia,Total Asia,2019-09-30,5.847048310910064
Reported,Asia,Total Asia,2019-10-31,6.011584317786916
Reported,Asia,Total Asia,2019-11-30,6.20998701559858
Reported,Asia,Total Asia,2019-12-31,6.475175828542932
Reported,Asia,Total Asia,2020-01-31,6.647214149431333
Reported,Asia,Total Asia,2020-02-29,6.387365192234489
Reported,Asia,Total Asia,2020-03-31,5.694311881468449
Reported,Asia,Total Asia,2020-04-30,5.893016138069112
Reported,Asia,Total Asia,2020-05-31,6.338159970059351
Reported,Asia,Total Asia,2020-06-30,6.374477055964931
Reported,Asia,Total Asia,2020-07-31,6.795376153740803
Reported,Asia,Total Asia,2020-08-31,7.329377089023472
Reported,Asia,Total Asia,2020-09-30,6.077444900660105
Reported,Asia,Total Asia,2020-10-31,6.217538654516373
Reported,Asia,Total Asia,2020-11-30,6.175734235468432
Reported,Asia,Total Asia,2020-12-31,6.094610549936857
Reported,Asia,Total Asia,2021-01-31,6.020548085363328
Reported,Asia,Total Asia,2021-02-28,5.733801228925546
Reported,Asia,Total Asia,2021-03-31,5.557295788651817
Reported,Asia,Total Asia,2021-04-30,5.586623149431192
