Month,42582,42613,42643,date,value
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43343,23254.776000000002
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43373,44649.002999999997
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43404,27398.973999999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43434,28409.81
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43465,22309.220499999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43496,32567.168000000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43524,31215.071
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43555,54699.006500000003
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43585,28384.494500000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43616,26583.516
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43646,22966.9
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43677,32042.352500000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43708,25808.63
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43738,47584.597000000002
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43769,30018.267500000002
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43799,25768.525000000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43830,29165.114000000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43861,38088.781000000003
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43890,33605.987000000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43921,48847.417999999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43951,26747.590499999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43982,45909.550999999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44012,50657.476999999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44043,36751.849000000002
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44074,44715.816500000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44104,57236.933499999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44135,48051.764999999999
